Sample	Site	Rep
S384	FF106	3
S385	FF107	3
S386	FF108	3
S387	FF109	3
S388	FF110	3
S389	FF111	3
S390	FF112	3
S391	FL113	3
S392	FL114	3
S393	FL115	3
S394	FL116	3
S395	FL117	3
S396	FL118	3
S397	FL119	3
S398	FM121	3
S399	FM122	3
S400	FM123	3
S401	BLANK3	3
S402	FM124	3
S403	FM125	3
S404	FM126	3
S405	FM127	3
S406	SM104	3
S407	FL120	3
S408	FM128	3
S409	FM129	3
S410	FM130	3
S411	SN083	3
S574	BW131	1
S575	BW132	1
S576	BW133	1
S577	BW134	1
S652	BW131	2
S653	BW132	2
S654	BW133	2
S655	BW134	2
S730	BW131	3
S731	BW132	3
S732	BW133	3
S733	BW134	3
S999	SN083	1
